title,writers,text
I'm Deranged,"David Bowie, Brian Eno","Funny how secrets travel[SEP*] I'd start to believe if I were to bleed[SEP*] Thin skies, the man chains his hands held high[SEP*] Cruise me blond[SEP*] Cruise me babe[SEP*] A blond belief beyond beyond beyond[SEP*] No return, no return[SEP*] I'm deranged[SEP*] Deranged my love[SEP*] I'm deranged down, down, down[SEP*] So cruise me babe, cruise me baby[SEP*] And the rain sets in[SEP*] It's the angel-man[SEP*] I'm deranged[SEP*] Cruise me, cruise me, cruise me, babe[SEP*] The clutch of life and the fist of love[SEP*] Over your head[SEP*] Big deal, big deal, big deal[SEP*] I'm deranged[SEP*] Deranged my love[SEP*] I'm deranged down, down, down[SEP*] So cruise me babe, cruise me baby[SEP*] And the rain sets in[SEP*] It's the angel-man[SEP*] I'm deranged[SEP*] And the rain sets in[SEP*] It's the angel-man[SEP*] I'm deranged"
Hallo Spaceboy,"David Bowie, Brian Eno","Spaceboy, you're sleepy now[SEP*] Your silhouette is so stationary[SEP*] You're released, but your custody calls[SEP*] And I want to be free[SEP*] Don't you want to be free?[SEP*] Do you like girls or boys?[SEP*] It's confusing these days[SEP*] But moon dust will cover you[SEP*] Cover you[SEP*] So goodbye, love[SEP*] Goodbye, love[SEP*] So goodbye[SEP*] Goodbye[SEP*] It’s confusing these days[SEP*] Goodbye, love[SEP*] Goodbye, love[SEP*] Hey, goodbye[SEP*] Goodbye[SEP*] Your planet's empty now[SEP*] There's nothing to do[SEP*] I just want to be free[SEP*] Don't you want to be free?[SEP*] Do you like girls or boys?[SEP*] It's confusing these days[SEP*] But moon dust will cover you[SEP*] Cover you[SEP*] So goodbye, love[SEP*] Goodbye, love[SEP*] Hey, goodbye[SEP*] Goodbye[SEP*] It's confusing these days[SEP*] So goodbye, love[SEP*] Goodbye, love[SEP*] Hey, goodbye[SEP*] Goodbye[SEP*] Hey, goodbye[SEP*] Goodbye[SEP*]"
Boys Keep Swinging,"David Bowie, Brian Eno",Heaven loves ya[SEP*] The clouds part for ya[SEP*] Nothing stands in your way[SEP*] When you're a boy[SEP*] Clothes always fit ya[SEP*] Life is a pop of the cherry[SEP*] When you're a boy[SEP*] When you're a boy[SEP*] You can wear a uniform[SEP*] Other boys check you out[SEP*] You get a girl[SEP*] These are your favorite things[SEP*] When you're a boy[SEP*] Boys[SEP*] Boys[SEP*] Boys keep swinging[SEP*] Boys always work it out[SEP*] Uncage the colors[SEP*] Unfurl the flag[SEP*] Luck just kissed you hello[SEP*] When you're a boy[SEP*] They'll never clone ya[SEP*] You're always first on the line[SEP*] When you're a boy[SEP*] When you're a boy[SEP*] You can buy a home of your own[SEP*] Learn to drive and everything[SEP*] You'll get your share[SEP*] When you're a boy[SEP*] Boys[SEP*] Boys[SEP*] Boys keep swinging[SEP*] Boys always work it out[SEP*] When you're a boy[SEP*] Boys[SEP*] Boys[SEP*] Boys keep swinging[SEP*] Boys always work it out[SEP*]
Fantastic Voyage,"David Bowie, Brian Eno","In the event that this fantastic voyage[SEP*] Should turn to erosion and we never get old[SEP*] Remember it's true, dignity is valuable[SEP*] But our lives are valuable too[SEP*] We're learning to live with somebody's depression[SEP*] And I don't want to live with somebody's depression[SEP*] We'll get by, I suppose[SEP*] It's a very modern world[SEP*] But nobody's perfect[SEP*] It's a moving world[SEP*] But that's no reason to shoot some of those missiles[SEP*] Think of us as fatherless scum[SEP*] It won't be forgotten[SEP*] 'Cause we'll never say anything nice again, will we?[SEP*] And the wrong words make you listen[SEP*] In this criminal world[SEP*] Remember it's true, loyalty is valuable[SEP*] But our lives are valuable too[SEP*] We're learning to live with somebody's depression[SEP*] And I don't want to live with somebody's depression[SEP*] We'll get by, I suppose[SEP*] But any sudden movement, I've got to write it down[SEP*] They wipe out an entire race and I've got to write it down[SEP*] But I'm still getting educated but I've got to write it down[SEP*] And it won't be forgotten[SEP*] 'Cause I'll never say anything nice again, how can I?"
Because the Night,"Bruce Springsteen, Patti Smith","Take me now, baby, here as I am[SEP*] Pull me close, try and understand[SEP*] Desire is hunger, is the fire I breathe[SEP*] Love is a banquet on which we feed[SEP*] Come on now, try and understand[SEP*] The way I feel when I'm in your hands[SEP*] Take my hand, come undercover[SEP*] They can't hurt you now[SEP*] Can't hurt you now, can't hurt you now[SEP*] Because the night belongs to lovers[SEP*] Because the night belongs to lust[SEP*] Because the night belongs to lovers[SEP*] Because the night belongs to us[SEP*] Have I doubt when I'm alone?[SEP*] Love is a ring, the telephone[SEP*] Love is an angel disguised as lust[SEP*] Here in our bed until the morning comes[SEP*] Come on now, try and understand[SEP*] The way I feel under your command[SEP*] Take my hand as the sun descends[SEP*] They can't touch you now[SEP*] Can't touch you now, can't touch you now[SEP*] Because the night belongs to lovers[SEP*] Because the night belongs to lust[SEP*] Because the night belongs to lovers[SEP*] Because the night belongs to us[SEP*] With love, we sleep, with doubt, the vicious circle[SEP*] Turns and burns without you[SEP*] Oh, I cannot live, forgive me now[SEP*] The time has come to take the night[SEP*] Love is an angel disguised as lust[SEP*] Here in our bed until the morning comes[SEP*] Because the night belongs to lovers[SEP*] Because the night belongs to lust[SEP*] Because the night belongs to lovers[SEP*] Because the night belongs to us[SEP*] Because the night belongs to lovers[SEP*] Because the night belongs to us"
