,train_id,subject,accuracy,correct,incorrect,error_rate,batch_size,epochs
67,29102024_114825,only-pos-neg-neu,"82,41758241758241",75,16,"17,582417582417584",30,10
68,29102024_114825,only-year-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
69,29102024_114825,only-text,"73,62637362637363",67,24,"26,373626373626376",30,10
70,29102024_114825,only-year,"84,61538461538461",77,14,"15,384615384615385",30,10
71,29102024_114825,only-compound,"83,51648351648352",76,15,"16,483516483516482",30,10
72,29102024_115215,sentiment,"73,62637362637363",67,24,"26,373626373626376",30,10
73,29102024_115215,only-pos-neg-neu,"83,51648351648352",76,15,"16,483516483516482",30,10
74,29102024_115215,only-year-compound,"91,20879120879121",83,8,"8,791208791208792",30,10
75,29102024_115215,only-text,"87,91208791208791",80,11,"12,087912087912088",30,10
76,29102024_115215,only-year,"83,51648351648352",76,15,"16,483516483516482",30,10
77,29102024_115215,only-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
78,29102024_115612,sentiment,"75,82417582417582",69,22,"24,175824175824175",30,10
79,29102024_115612,only-pos-neg-neu,"73,62637362637363",67,24,"26,373626373626376",30,10
80,29102024_115612,only-year-compound,"75,82417582417582",69,22,"24,175824175824175",30,10
81,29102024_115612,only-text,"73,62637362637363",67,24,"26,373626373626376",30,10
82,29102024_115612,only-year,"78,02197802197803",71,20,"21,978021978021978",30,10
83,29102024_115612,only-compound,"74,72527472527473",68,23,"25,274725274725274",30,10
84,29102024_120015,sentiment,"82,41758241758241",75,16,"17,582417582417584",30,10
85,29102024_120015,only-pos-neg-neu,"74,72527472527473",68,23,"25,274725274725274",30,10
86,29102024_120015,only-year-compound,"82,41758241758241",75,16,"17,582417582417584",30,10
87,29102024_120015,only-text,"81,31868131868131",74,17,"18,681318681318682",30,10
88,29102024_120015,only-year,"86,81318681318682",79,12,"13,186813186813188",30,10
89,29102024_120015,only-compound,"75,82417582417582",69,22,"24,175824175824175",30,10
90,29102024_120413,sentiment,"81,31868131868131",74,17,"18,681318681318682",30,10
91,29102024_120413,only-pos-neg-neu,"81,31868131868131",74,17,"18,681318681318682",30,10
92,29102024_120413,only-year-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
93,29102024_120413,only-text,"83,51648351648352",76,15,"16,483516483516482",30,10
94,29102024_120413,only-year,"84,61538461538461",77,14,"15,384615384615385",30,10
95,29102024_120413,only-compound,"82,41758241758241",75,16,"17,582417582417584",30,10
96,29102024_120812,sentiment,"82,41758241758241",75,16,"17,582417582417584",30,10
97,29102024_120812,only-pos-neg-neu,"73,62637362637363",67,24,"26,373626373626376",30,10
98,29102024_120812,only-year-compound,"79,12087912087912",72,19,"20,87912087912088",30,10
99,29102024_120812,only-text,"73,62637362637363",67,24,"26,373626373626376",30,10
100,29102024_120812,only-year,"81,31868131868131",74,17,"18,681318681318682",30,10
101,29102024_120812,only-compound,"75,82417582417582",69,22,"24,175824175824175",30,10
102,29102024_121209,sentiment,"79,12087912087912",72,19,"20,87912087912088",30,10
103,29102024_121209,only-pos-neg-neu,"81,31868131868131",74,17,"18,681318681318682",30,10
104,29102024_121209,only-year-compound,"85,71428571428571",78,13,"14,285714285714285",30,10
105,29102024_121209,only-text,"83,51648351648352",76,15,"16,483516483516482",30,10
106,29102024_121209,only-year,"87,91208791208791",80,11,"12,087912087912088",30,10
107,29102024_121209,only-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
108,29102024_121607,sentiment,"81,31868131868131",74,17,"18,681318681318682",30,10
109,29102024_121607,only-pos-neg-neu,"76,92307692307693",70,21,"23,076923076923077",30,10
110,29102024_121607,only-year-compound,"85,71428571428571",78,13,"14,285714285714285",30,10
111,29102024_121607,only-text,"81,31868131868131",74,17,"18,681318681318682",30,10
112,29102024_121607,only-year,"85,71428571428571",78,13,"14,285714285714285",30,10
113,29102024_121607,only-compound,"79,12087912087912",72,19,"20,87912087912088",30,10
114,29102024_121957,sentiment,"80,21978021978022",73,18,"19,78021978021978",30,10
115,29102024_121957,only-pos-neg-neu,"72,52747252747253",66,25,"27,472527472527474",30,10
116,29102024_121957,only-year-compound,"80,21978021978022",73,18,"19,78021978021978",30,10
117,29102024_121957,only-text,"72,52747252747253",66,25,"27,472527472527474",30,10
118,29102024_121957,only-year,"78,02197802197803",71,20,"21,978021978021978",30,10
