subject,avg_accuracy,min_accuracy,max_accuracy,avg_lower_bound,avg_upper_bound,avg_outliers
only-compound,81.70752324598479,71.42857142857143,91.20879120879121,73.62637362637363,90.1098901098901,6
only-pos-neg-neu,81.28486897717667,68.13186813186813,92.3076923076923,73.62637362637363,90.1098901098901,11
only-text,81.36939983093829,69.23076923076923,94.5054945054945,73.62637362637363,90.1098901098901,7
only-year,86.22147083685545,73.62637362637363,96.7032967032967,78.02197802197803,94.5054945054945,3
only-year-compound,86.77937447168217,75.82417582417582,95.6043956043956,79.12087912087911,95.60439560439562,4
sentiment,82.02874049027895,69.23076923076923,90.10989010989012,75.82417582417582,89.01098901098901,5
