title,writers,text,year,neg,neu,pos,compound
Fantastic Voyage,"David Bowie, Brian Eno","In the event that this fantastic voyage should turn to erosion and we never get old Remember it's true, dignity is valuable but our lives are valuable too [SEP*] We're learning to live with somebody's depression and I don't want to live with somebody's depression We'll get by, I suppose [SEP*] It's a very modern world, but nobody's perfect it's a moving world, but that's no reason [SEP*] Shoot some of those missiles think of us as fatherless scum it won't be forgotten [SEP*] 'Cause we'll never say anything nice again, will we? and the wrong words make you listen [SEP*] In this criminal world remember it's true, loyalty is valuable but our lives are valuable too [SEP*] We're learning to live with somebody's depression and I don't want to live with somebody's depression We'll get by I suppose [SEP*] But any sudden movement I've got to write it down they wipe out an entire race and I've got to write it down [SEP*] But I'm still getting educated but I've got to write it down and it won't be forgotten [SEP*] 'Cause I'll never say anything nice again, how can I?",1979,0.19,0.648,0.162,-0.8555
Hallo Spaceboy,"David Bowie, Brian Eno","Spaceboy, you're sleepy now Your silhouette is so stationary You're released but your custody calls And I want to be free Don't you want to be free [SEP*] Do you like girls or boys It's confusing these days But Moondust will cover you, cover you This chaos is killing me [SEP*] So bye bye love Yeah bye bye love Bye bye love Yeah bye bye love [SEP*] This chaos is killing me Hallo spaceboy You're sleepy now You're silhouette so stationary You're released but your custody calls And I want to be free Don't you want to be free [SEP*] Do you like girls or boys It's confusing these days But Moondust will cover you, cover you And the chaos is killing me [SEP*] Yeah bye bye love So bye bye love Yeah bye bye love So bye bye love [SEP*] This chaos is killing me Moondust will cover you This chaos is killing me",1995,0.229,0.428,0.344,0.9825
Boys Keep Swinging,"David Bowie, Brian Eno",1234 heaven loves ya The clouds part for ya Nothing stands in your way when you're a boy [SEP*] Clothes always fit ya Life is a pop of the cherry When you're a boy [SEP*] When you're a boy you can wear a uniform When you're a boy other boys check you out [SEP*] You get a girl These are your favourite things When you're a boy [SEP*] Boys boys Boys keep swinging boys always work it out [SEP*] Uncage the colours unfurl the flag Luck just kissed you hello when you're a boy [SEP*] They'll never clone ya You're always first on the line When you're a boy [SEP*] When you're a boy You can buy a home of your own When you're a boy [SEP*] Learn to drive and everything You'll get your share when you're a boy [SEP*] Boys boys Boys keep swinging boys always work it out,1978,0.0,0.876,0.124,0.946
African Night Flight,"David Bowie, Brian Eno","African nightmare, one-time Mormon More men fall in hullabaloo men I slide to the nearest bar Undermine chairman I went too far Bent on a windfall, rent a Sony Wonder how the dollar went down Gotta get a word to Elizabeth's father Hey no, he wished me well[SEP*] Seemed like another day I could fly into the eye of God on high His burning eye will see me through (One of these days, one of these days got get work through one of these days) His burning eye will see me through (One of these days, one of these days, got get work through one of these days)[SEP*] Ahsante habari, habari Ahsante nabanana banana Ahsante habari, habari Ahsante nabanana banana Ahsante habari, habari Ahsante nabanana banana Ahsante habari, habari Ahsante nabanana banana[SEP*] Getting in mood for a Mombasa night flight Pushing my luck, gonna fly like a mad thing Bare strip takeoff skimming over rhino Born in slumber less than peace Struggle with a child whose screaming dreaming Drowned by the props all steely sunshine Sick of you, sick of me Lust for the free life Quashed and maimed like a valuable loved one left unnamed[SEP*] Seemed like another day I could fly into the eye of God on high Seemed like another day I could fly into the eye of God on high[SEP*] Over the bushland over the trees Wise like orangutan that was me His burning eye will see me through (One of these days, one of these days got get work through one of these days) His burning eye will see me through (One of these days, one of these days, got get work through one of these days) Ahsante habari, habari Ahsante nabanana banana",1979,0.071,0.784,0.144,0.9661
Because the Night,"Bruce Springsteen, Patti Smith","Take me now, baby, here as I am Pull me close, try and understand Desire is hunger, is the fire I breathe Love is a banquet on which we feed Come on now, try and understand The way I feel when I'm in your hands Take my hand, come undercover They can't hurt you now Can't hurt you now, can't hurt you now [SEP*] Because the night belongs to lovers Because the night belongs to love Because the night belongs to lovers Because the night belongs to us [SEP*] Have I doubt when I'm alone Love is a ring, the telephone Love is an angel disguised as lust Here in our bed until the morning comes Come on now, try and understand The way I feel under your command Take my hand as the sun descends They can't touch you now Can't touch you now, can't touch you now [SEP*] Because the night belongs to lovers Because the night belongs to love Because the night belongs to lovers Because the night belongs to us [SEP*] With love we sleep With doubt the vicious circle Turns and burns Without you, oh, I cannot live Forgive, the yearning burning I believe it's time, too real to feel So touch me now, touch me now, touch me now [SEP*] Because the night belongs to lovers Because the night belongs to love Because the night belongs to lovers Because the night belongs to us [SEP*] Because tonight there are two lovers If we believe, in the night we trust Because the night belongs to lovers Because the night belongs to love Because the night belongs to lovers Because the night belongs to love 'Cause we believe tonight we're lovers 'Cause we believe, in the night we trust Because the night belongs to lovers",1977,0.049,0.676,0.276,0.998
