title,writers,text,year,neg,neu,pos,compound
Heathen,David Bowie,"Steel on the skyline Sky made of glass Made for a real world All things must pass [SEP*] Oo-o Waiting for something Looking for someone Is there no reason? Have I stared too long? [SEP*] Oo-o, Oo-o You say you'll leave me And when the sun is low And the rays high I can see it now I can feel it die [SEP*]",2002,0.158,0.842,0.0,-0.8299
Backstreets,Bruce Springsteen,"One soft infested summer, me and Terry became friends Trying in vain to breathe the fire we was born in Catching rides to the outskirts, tying faith between our teeth Sleeping in that old abandoned beach house, getting wasted in the heat [SEP*] And hiding on the backstreets Hiding on the backstreets With a love so hard and filled with defeat Running for our lives at night on them backstreets [SEP*] Slow dancing in the dark on the beach at Stockton's Wing Where desperate lovers park, we sat with the last of the Duke Street Kings Huddled in our cars, waiting for the bells that ring In the deep heart of the night they set us loose of everything [SEP*] To go running on the backstreets Running on the backstreets Terry, you swore we'd live forever Taking it on them backstreets together [SEP*] Endless juke joints and Valentino drag Where famous dancers scraped the tears up off the street, dressed down in rags Running into the darkness, some hurt bad, some really dying At night sometimes it seemed you could hear the whole damn city crying [SEP*] Blame it on the lies that killed us, blame it on the truth that ran us down You can blame it all on me, Terry, it don't matter to me now When the breakdown hit at midnight, there was nothing to say But I hated him, and I hated you when you went away [SEP*] Laying here in the dark, you're like an angel on my chest Just another tramp of hearts crying tears of faithlessness Remember all the movies, Terry, we'd go see Trying to learn to walk like the heroes we thought we had to be [SEP*] And after all this time, to find we're just like all the rest Stranded in the park and forced to confess To hiding on the backstreets Hiding on the backstreets [SEP*] Where we swore forever friends On the backstreets until the end Hiding on the backstreets Hiding on the backstreets Hiding on the backstreets",1975,0.205,0.722,0.073,-0.9907
Getting Closer,Paul McCartney,"Say You Don't Love Him, My Salamander. Why Do You Need Him? Oh No, Don't Answer, Oh No. I'm Getting Closer, I'm Getting Closer To Your Heart. [SEP*] Keeping Ahead Of The Rain On The Road, Watching My Windscreen Wipers. Radio Play Me A Danceable Ode, Cattle Beware Of Snipers. [SEP*] When Will You See Me, My Salamander? Now Don't Try To Tell Me Oh No, Don't Answer, Oh No. [SEP*] Hitting The Chisel And Making A Joint, Glueing My Fingers Together. Radio Play Me A Song With A Point, Sailor Beware Of Weather. [SEP*] I'm Getting Closer, My Salamander. Well When Will We Be There? Ah No, Don't Answer, Oh No.",1979,0.145,0.797,0.058,-0.8484
Pay in Blood,Bob Dylan,"Well, I'm grindin' my life out, steady and sure Nothin' more wretched than what I must endure I'm drenched in the light that shines from the sun I could stone you to death for the wrongs that you done[SEP*] Sooner or later, you make a mistake I put you in a chain that you never will break Legs and arms and body and bone I pay in blood but not my own[SEP*] Night after night, day after day They strip your useless hopes away The more I take, the more I give The more I die, the more I live[SEP*] I got somethin' in my pocket make your eyeballs swim I got dogs could tear you limb from limb I'm circlin' around the Southern Zone I pay in blood but not my own[SEP*] A low cards are what I've got But I'll play this hand whether I like it or not I'm sworn to uphold the laws of God You can put me out in front of a firin' squad[SEP*] I been out and around with the risin' men Just like you, my handsome friend My head's so hard, must be made of stone I pay in blood but not my own[SEP*] Another politician comin' out the abyss Another angry beggar blowin' you a kiss You got the same eyes that your mother does If only you could prove who your father was[SEP*] Someone must of slipped a drug in yer wine You gulped it down and you cross the line Man can't live by bread alone I pay in blood but not my own[SEP*] How I made it back home? Nobody knows Or how I survived so many blows? I been through hell, what good did it do? You bastard! I'm suppose to respect you![SEP*] I'll give you justice, I'll fathom your purse Show me your moral that you reversed I hear me holler, I hear me moan I pay in blood but not my own[SEP*] You get your lover in the bed Come here, I'll break your lousy head Our nation must be saved and freed You been accused of murder, how do you plead?[SEP*] This is how I spend my days I came to bury, not to raise I'll drink my fill and sleep alone I play in blood but not my own",2012,0.134,0.704,0.162,0.9501
As the World Falls Down,David Bowie,There's such a sad love Deep in your eyes a kind of pale jewel Open and closed Within your eyes I'll place the sky Within your eyes [SEP*] There's such a fooled heart Beatin' so fast In search of new dreams A love that will last Within your heart I'll place the moon Within your heart [SEP*] As the pain sweeps through Makes no sense for you Every thrill is gone Wasn't too much fun at all But I'll be there for you-ou-ou As the world falls down Falling [SEP*] As the world falls down Falling Falling in love [SEP*] I'll paint you mornings of gold I'll spin you Valentine evenings though we're strangers 'til now We're choosing the path Between the stars I'll leave my love Between the stars [SEP*] As the pain sweeps through Makes no sense for you Every thrill is gone Wasn't too much fun at all But I'll be there for you-ou-ou As the world falls down Falling [SEP*] As the world falls down Falling Falling [SEP*] As the world falls down Falling Falling Falling Falling in love [SEP*] As the world falls down Falling Falling Falling Falling in love [SEP*] As the world falls down Makes no sense at all Makes no sense to fall Falling [SEP*] As the world falls down Falling Falling Falling in love [SEP*] As the world falls down Falling Falling Falling in love,1986,0.231,0.602,0.167,0.3707
Summer Days,Bob Dylan,"Summer days, summer nights are gone Summer days and the summer nights are gone I know a place where there's still somethin' going on[SEP*] I got a house on a hill, I got hogs all out on in the mud I got a house on a hill, I got hogs out lying in the mud I Got a long haired woman, she got royal Indian blood[SEP*] Everybody get ready, lift up your glasses and sing Everybody get ready to lift up your glasses and sing Well, I'm standin' on the table, I'm proposing a toast to the king[SEP*] Well I'm drivin' in the flats in a Cadillac car The girls all say, ""You're a worn out star"" My pockets are loaded and I'm spending every dime How can you say you love someone else when you know it's me all the time?[SEP*] Well, the fog's so thick you can't spy the land The fog is so thick that you can't even spy the land What good are you anyway, if you can't stand up to some old businessman?[SEP*] Wedding bells ringin', the choir is beginning to sing Yes, the wedding bells are ringing and the choir is beginning to sing What looks good in the day, at night is another thing[SEP*] She's looking into my eyes, she's holding my hand She's looking into my eyes, she's holding my hand She says, ""You can't repeat the past, "" I say, ""You can't? What do you mean, you can't, of course you can!""[SEP*] Where do you come from? Where do you go? Sorry that's nothin' you would need to know Well, my back has been to the wall for so long, it seems like it's stuck Why don't you break my heart one more time just for good luck[SEP*] I got eight carburetors, boys I'm using 'em all Well, I got eight carburetors and boys, I'm using 'em all I'm short on gas, my motor's starting to stall[SEP*] My dogs are barking, there must be someone around My dogs are barking, there must be someone around I got my hammer ringin', pretty baby, but the nails ain't goin' down[SEP*] You got something to say, speak or hold your peace Well, you got something to say, speak now or hold your peace If it's information you want you can go get it from the police[SEP*] Politician got on his jogging shoes He must be running for office, got no time to lose He been suckin' the blood out of the genius of generosity You been rolling your eyes, you been teasing me[SEP*] Standing by God's river, my soul is beginnin' to shake Standing by God's river, my soul is beginnin' to shake I'm countin' on you love, to give me a break[SEP*] Well, I'm leaving in the morning as soon as the dark clouds lift Yes, I'm leaving in the morning just as soon as the dark clouds lift Gonna break in the roof, set fire to the place as a parting gift[SEP*] Summer days, summer nights are gone Summer days, summer nights are gone I know a place where there's still somethin' going on",2001,0.042,0.837,0.121,0.9911
Someday Baby,Bob Dylan,"I don't care what you do, I don't care what you say I don't care where you go or how long you stay Someday baby, you ain't gonna worry po' me any more[SEP*] Well you take my money and you turn it out You fill me up with nothin' but self doubt Someday baby, you ain't gonna worry po' me any more[SEP*] When I was young, driving was my crave You drive me so hard, almost to the grave Someday baby, you ain't gonna worry po' me any more[SEP*] I'm so hard pressed, my mind tied up in knots I keep recycling the same old thoughts Someday baby, you ain't gonna worry po' me any more[SEP*] So many good things in life that I overlooked I don't know what to do now, you got me so hooked Someday baby, you ain't gonna worry po' me any more[SEP*] Well, I don't want to brag, but I'm gonna wring your neck When all else fails I'll make it a matter of self respect Someday baby, you ain't gonna worry po' me any more[SEP*] You can take your clothes put 'em in a sack You goin' down the road, baby and you can't come back Someday baby, you ain't gonna worry po' me any more[SEP*] I tried to be friendly, I tried to be kind I'm gonna drive you from your home, just like I was driven from mine Someday baby, you ain't gonna worry po' me any more[SEP*] Living this way ain't a natural thing to do Why was I born to love you? Someday baby, you ain't gonna worry po' me any more",2006,0.076,0.65,0.274,0.9971
Somebody Who Cares,Paul McCartney,"When your body is coming apart at the seams And the whole thing's feeling low You're convincing yourself That there's nobody there, I know I know how you feel [SEP*] Like somebody has taken the wheels off your car When you had somewhere to go Well, it's annoying Not going to get very far, I know [SEP*] But somebody cares There's always someone, somewhere, you should know by now Always somebody who cares [SEP*] It's happening day in, day out Well, you know by now Always somebody who cares And if you don't know it, how will it find you? How will we know your whereabouts? [SEP*] But I know how you feel I know how you feel [SEP*] Like somebody has taken the wheels off your car When you had somewhere to go Well, it's frustrating Not going to get very far, I know [SEP*] But somebody cares There's always someone, somewhere, you should know by now Always somebody who cares [SEP*] It's happening day in, day out Well, you know by now Always somebody who cares And if you don't know it, how will it find you? How will we know your whereabouts? [SEP*] But I know how you feel [SEP*]",1982,0.033,0.773,0.194,0.9875
Bobby Jean,Bruce Springsteen,"Well, I came by your house the other day Your mother said you went away She said there was nothing that I could have done There was nothing nobody could say[SEP*] Me and you, we've known each other Ever since we were 16 I wished I would have known I wished I could have called you Just to say goodbye Bobby Jean[SEP*] Now you hung with me when all the others Turned away, turned up their nose We liked the same music, we liked the same bands We liked the same clothes[SEP*] Yeah, we told each other That we were the wildest The wildest things we'd ever seen Now I wished you would have told me I wished I could have talked to you Just to say goodbye Bobby Jean[SEP*] Now we went walking in the rain Talking about the pain from the world we hid Now there ain't nobody, nowhere, no how Gonna ever understand me the way you did[SEP*] Maybe you'll be out there on that road somewhere In some bus or train traveling along In some motel room, there'll be a radio playing And you'll hear me sing this song[SEP*] Well, if you do, you'll know I'm thinking of you And all the miles in between And I'm just calling one last time Not to change your mind But just to say I miss you baby Good luck Goodbye, Bobby Jean",1984,0.028,0.889,0.083,0.9016
Sherry Darling,Bruce Springsteen,"Your Mamma's yappin' in the back seat Tell her to push over and move them big feet Every Monday morning I gotta drive her down to the unemployment agency Well this morning I ain't fighting, tell her I give up Tell her she wins if she'll just shut up But it's the last time that she's gonna be ridin' with me[SEP*] And you can tell her there's a hot sun beatin' on the black top She keeps talkin', she'll be walking that last block She can take a subway back to the ghetto tonight Well, I got some beer and the highway's free And I got you, and baby, you've got me Hey, hey, hey, what you say, Sherry Darling?[SEP*] Now there's girls melting on the beach Oh they're so fine and so out of reach 'Cause I'm stuck in traffic down here on 53rd Street Now Sherry, my love for you is real But I didn't count on this package deal And baby, this car just ain't big enough for her and me[SEP*] So you can tell her there's a hot sun beatin' on the blacktop She keeps talking, she'll be walkin' that last block She can take a subway back to the ghetto tonight Well, I got some beer and the highway's free And I got you, and baby, you've got me Hey, hey, hey, what you say, Sherry Darling?[SEP*] Well, let there be sunlight, let there be rain Let my broken heart love again Sherry, we can run with our arms open wide before the tide To all the girls down at Sacred Heart And all you operators back in the Park Say hey, hey, hey, what you say, Sherry Darling?",1977,0.05,0.774,0.175,0.9915
