title,writers,text,year,neg,neu,pos,compound
Can't Help Thinking About Me,David Bowie,"Question-time that says I brought dishonor My head's bowed in shame, seems that I've blackened the family name My mother says that she can't stand the neighbors talking I've gotta pack my bags, leave this home, start walking I'm guilty [SEP*] I wish that I was sorry this time I wish that I could pay for my crime Can't help thinking about me Can't help thinking about me Can't help thinking about me [SEP*] Remember when we used to go to church on Sundays I lay awake at night, terrified of school on Mondays It's too late now I wish I was a child again I wish I felt secure again Can't help thinking about me Can't help thinking about me Can't help thinking about me [SEP*] As I pass a recreation ground Remember my friends, always been found But I can't Can't help thinking about me Can't help thinking about me Can't help thinking about me [SEP*] Now I leave them all in this never never land The station seems so cold the ticket's in my hand My girl calls my name ""Hi, Dave"" Drop in, see around, come back If you're this way again I'm on my own [SEP*] I've got a long way to go Hope I make it on my own Can't help thinking about me Can't help thinking about me Can't help thinking about me Can't help thinking about me [SEP*] I can't help thinking about me I can't help thinking about me I can't help thinking about me I can't help thinking about me Can't help thinking about me Can't help thinking about me Can't help thinking about me (can't help thinking about me) Can't help thinking about me (can't help thinking about me) Can't help thinking about me (can't help thinking about me) Can't help thinking about me (can't help thinking about me) I can't help thinking about me",2007,0.254,0.691,0.055,-0.9956
The River ,Bruce Springsteen,"I come from down in the valley Where, mister, when you're young They bring you up to do like your daddy done Me and Mary we met in high school When she was just seventeen We drive out of this valley Down to where the fields were green We'd go down to the river And into the river we'd dive Oh, down to the river we'd ride[SEP*] Then I got Mary pregnant And man, that was all she wrote And for my nineteenth birthday I got a union card and a wedding coat We went down to the courthouse And the judge put it all to rest No wedding day smiles, no walk down the aisle No flowers, no wedding dress[SEP*] That night we went down to the river And into the river we'd dive Oh, down to the river we did ride Yeah, yeah[SEP*] I got a job working construction For the Johnstown Company But lately there ain't been much work On account of the economy Now all them things that seemed so important Well mister they vanished right into the air Now I just act like I don't remember Mary acts like she don't care[SEP*] But I remember us riding in my brother's car Her body tan and wet, down at the reservoir At night on them banks I'd lie awake And pull her close just to feel each breath she'd take Now those memories come back to haunt me They haunt me like a curse Is a dream a lie if it don't come true Or is it something worse That sends me down to the river Though I know the river is dry That sends me down to the river tonight Down to the river My baby and I Oh, down to the river we ride-ide",1980,0.09,0.83,0.079,-0.6676
Day-In Day-Out,David Bowie,"(Day in) Day in (Day out) Day out (Stay in) Stay in (Fade out) Fade out (Day in) Hoo hoo (Day out) Oh hoo hoo [SEP*] She was born in a handbag Love left On a doorstep What she lacks is a backup Nothing seems to make a dent Going to find her some money, honey Try to pay her rent That's the kind of protection everyone is shouting about (Hey, hey) [SEP*] (Day in) Day in (Day out) Day out (Stay in) Stay in (Fade out) Fade out (Day in) Hoo hoo (Day out) Oh hoo hoo [SEP*] First thing she learns is She's a citizen Some things they turn out right When you're under the USA Someone rings a bell And it's all over She's going out of her way Stealing for that one good rush (Ah) [SEP*] (Day in) Day in (Day out) Day out (Stay in) Stay in (Fade out) Fade out (Day in) Hoo hoo (Day out) Oh hoo hoo [SEP*] She could use a little money She's hanging on his arms Like a cheap suit She's got no money, honey She's on the other side Oh come on little baby Late night, big town Police, shake down [SEP*] Day in Day out Stay in Fade out Hoo hoo [SEP*] (Day in) (Day out) (Stay in) (Fade out) [SEP*] (Day in) She's got a ticket to nowhere (Day out) She's going to take a train ride (Stay in) Nobody knows her, or knows her name (Stay out) She's in the pocket of a home boy (Stay in) Oh she's going to take her a shotgun, pow (Stay out) Spin the grail spin the drug (Stay in) She's going to make them well aware (Stay out) She's an angry girl (All over) [SEP*] (Day in) Day in (Day out) Day out (Stay in) Stay in (Fade out) (Fade out) Fade out [SEP*] (Day in) And there's angels everywhere (Day out) Suddenly shooting her down (Day in) Shooting her with video, drugs, bullets, and promises (Day out) Angels in a ton of sound... And it's— (Day in) Day in (Day out) Day out (Day in) You stay in, or ya... (Day out) Ya fade out, fade out (Day in) Fade out (Day out) Ha, and ya... (Day in) Fade out (Day out) Fade out, fade out (Day in) Hoo hoo (Day out) Oh hoo hoo",1987,0.031,0.926,0.042,0.6597
Freedom,Paul McCartney,[SEP*] This is my right A right given by God To live a free life To live in freedom[SEP*] Talkin' about freedom I'm talkin' about freedom I will fight for the right To live in freedom[SEP*] Any one Tries to take it away You'll have to answer 'Cause this is my right[SEP*] I'm talkin' about freedom I'm talkin' about freedom I will fight for the right To live in freedom[SEP*] Yeah oh I'm' talkin' about freedom I'm talking about freedom I will fight for the right To live in freedom[SEP*] Everybody talkin' about freedom We're talkin' about freedom We will fight for the right To live in freedom[SEP*] Oh Talkin' about freedom I'm talkin' about freedom I will fight for the right To live in freedom[SEP*] I'm' talkin' about freedom I'm' talkin' about freedom We will fight for the right To live in freedom,2001,0.074,0.514,0.412,0.9976
Be My Wife,David Bowie,Sometimes you get so lonely Sometimes you get nowhere I've lived all over the world I've lived every place Please be mine Share my life Stay with me Be my wife [SEP*] Sometimes you get so lonely Sometimes you get nowhere I've lived all over the world I've lived every place Please be mine Share my life Stay with me Be my wife [SEP*] Sometimes you get so lonely,1977,0.124,0.762,0.114,-0.4066
"Something's Burning, Baby",Bob Dylan,"Something is burning, baby, are you aware? Something is the matter, baby, there's smoke in your hair Are you still my friend, baby, show me a sign Is the love in your heart for me turning blind?[SEP*] You've been avoiding the main streets for a long, long while The truth that I'm seeking is in your missing file What's your position, baby, what's going on? Why is the light in your eyes nearly gone?[SEP*] I know everything about this place, or so it seems Am I no longer a part of your plans or your dreams? Well, it is so obvious that something has changed What's happening, baby, to make you act so strange?[SEP*] Something is burning, baby, here's what I say Even the bloodhounds of London couldn't find you today I see the shadow of a man, baby, makin' you blue Who is he, baby, and what's he to you?[SEP*] We've reached the edge of the road, baby, where the pasture begins Where charity is supposed to cover up a multitude of sins But where do you live, baby, and where is the light? Why are your eyes just staring off in the night?[SEP*] I can feel it in the night, in the night, in the night when I think of you I can feel it in the light, in the light, in the light and it's got to be true You can't live by bread alone, you won't be satisfied You can't roll away the stone if your hands are tied[SEP*] Got to start someplace, baby, can you explain? Please don't fade away on me, baby, like the midnight train Answer me, baby, a casual look will do Just what in the world has come over you?[SEP*] I can feel it in the wind, in the wind, in the wind and it's upside down I can feel it in the dust as I get off the bus on the outskirts of town I've had the Mexico City blues since the last hairpin curve I don't wanna see you bleed I know what you need and it ain't what you deserve[SEP*] Something is burning, baby, something's in flames There's a man going 'round calling names Ring down when you're ready, baby, I'm waiting for you I believe in the impossible, you know that I do",1985,0.041,0.882,0.077,0.9228
Dancing in the Dark,Bruce Springsteen,"I get up in the evenin' And I ain't got nothin' to say I come home in the mornin' I go to bed feelin' the same way [SEP*] I ain't nothin' but tired Man, I'm just tired and bored with myself Hey there, baby, I could use just a little help [SEP*] You can't start a fire You can't start a fire without a spark This gun's for hire Even if we're just dancin' in the dark [SEP*] Messages keeps gettin' clearer Radio's on and I'm movin' 'round my place I check my look in the mirror Wanna change my clothes, my hair, my face [SEP*] Man, I ain't gettin' nowhere I'm just livin' in a dump like this There's somethin' happenin' somewhere Baby, I just know that there is [SEP*] You can't start a fire You can't start a fire without a spark This gun's for hire Even if we're just dancin' in the dark [SEP*] You sit around gettin' older There's a joke here somewhere and it's on me I'll shake this world off my shoulders Come on, baby, the laugh's on me [SEP*] Stay on the streets of this town And they'll be carvin' you up alright They say you gotta stay hungry Hey baby, I'm just about starvin' tonight [SEP*] I'm dyin' for some action I'm sick of sittin' 'round here tryin' to write this book I need a love reaction Come on now, baby, gimme just one look [SEP*] You can't start a fire Sittin' 'round cryin' over a broken heart This gun's for hire Even if we're just dancin' in the dark [SEP*] You can't start a fire Worryin' about your little world fallin' apart This gun's for hire Even if we're just dancin' in the dark [SEP*] Even if we're just dancin' in the dark Even if we're just dancin' in the dark Even if we're just dancin' in the dark Hey baby",1984,0.064,0.817,0.12,0.9539
Stranglehold,Paul McCartney,"Can I Get You To Give Me A Minute Of Your Time? Can I Get You To Slip Me The Answer? Can I Get You To Slow Me A Little Of Your Mime? You Were Always A Very Good Dancer I'd Be Happy To Show You A Bit Of What I Found I'd Be Happy To Share In Its Beauty I'd Be Happy To Lay Low Inevitably Bound I Would Only Be Doing My Duty. [SEP*] I Wait, I Wait, I Can Wait, I Can Wait Back In The Bar I Can Wait, I Can Wait, I Can Wait Back In The Car I'll Be Waiting For You Stranglehold, You Know You've Got On Me I Don't Want To Go Without You. Stranglehold, You've Got Me Where You Want Me But I Want To Know More About You I Want To Know More About You. [SEP*] Are You Willing To Wager A Little Of Your Life? Are You Willing To Take Such A Gamble? Are You Ready To Walk On The Edge Of The Knife? Then I Think We Can Skip The Preamble. [SEP*] I Wait, I Wait, I Can Wait. I Can't Wait Back In The Bar, I Can Wait, I Can Wait, I Can Wait Back In The Car I'll Be Waiting For You. I'll Be Waiting... [SEP*] Stranglehold, You Know, You've Got On Me I Don't Want To Go Without You Stranglehold, You've Got Me Where You Want Me And I Want To Know More About You I Want To Know More About You. [SEP*] I Can Wait, I Can Wait Back In The Bar I Can Wait, I Can Wait I Can Wait Back In The Car I'll Be Waiting For You.",1986,0.046,0.887,0.068,0.8907
The Bewlay Brothers,David Bowie,"And so the story goes they wore the clothes They said the things to make it seem improbable The whale of a lie like they hope it was And the Goodmen Tomorrow Had their feet in the wallow And their heads of Brawn were nicer shorn And how they bought their positions with saccharin and trust And the world was asleep to our latent fuss Sighing, the swirl through the streets Like the crust of the sun The Bewlay Brothers [SEP*] In our Wings that Bark Flashing teeth of Brass Standing tall in the dark Oh, And we were Gone Hanging out with your Dwarf Men We were so turned on By your lack of conclusions I was Stone and he was Wax So he could scream, and still relax, unbelievable [SEP*] And we frightened the small children away And our talk was old and dust would flow Thru our veins and Lo! it was midnight Back at the kitchen door Like the grim face on the Cathedral floor And the solid book we wrote Cannot be found today And it was Stalking time for the Moonboys [SEP*] The Bewlay Brothers With our backs on the arch In the Devil-may-be-here But He can't sing about that Oh, And we were Gone Real Cool Traders We were so Turned On You thought we were Fakers [SEP*] Now the dress is hung, the ticket pawned The Factor Max that proved the fact Is melted down And woven on the edging of my pillow Now my Brother lays upon the Rocks He could be dead, He could be not He could be You [SEP*] He's Chameleon, Comedian, Corinthian and Caricature Shooting-up Pie-in-the-Sky The Bewlay Brothers In the feeble and the Bad The Bewlay Brothers In the Blessed and Cold In the Crutch-hungry Dark Was where we flayed our Mark Oh, and we were Gone [SEP*] Kings of Oblivion We were so Turned On In the Mind-Warp Pavilion Lay me place and bake me Pie I'm starving for me Gravy Leave my shoes, and door unlocked I might just slip away, hey Just for the Day, Hey! [SEP*] Hey, Please come Away, Hey! Just for the Day, Hey! Please come Away, Hey! Please come Away, Hey! Just for the Day Please come Away Please come Away Please come Away Please come Away Away (Away) Away Hey",1971,0.064,0.821,0.115,0.958
Diamond Dogs,David Bowie,"[SEP*] This ain't rock and roll This is genocide[SEP*] As they pulled you out of the oxygen tent You asked for the latest party With a silicon hump and your ten-inch stump Dressed like a priest you was, Todd Browning streak he was[SEP*] Crawling down the alley on your hands and knee I'm sure you're not protected, for it's plain to see The diamond dogs are poachers and they hide behind trees Hunt you to the ground, they will, mannequins with kill appeal[SEP*] I'll keep a friend serene (will they come?) Oh baby, come unto me (will they come?) Well, she's come, been and gone[SEP*] Come out of the garden, baby You'll catch your death in the fog Young girl, they call them the Diamond Dogs Young girl, they call them the Diamond Dogs[SEP*] The Halloween Jack is a real cool cat And he lives on top of Manhattan Chase The elevator's broke, so he slides down a rope Onto the street below, oh Tarzie, go man go[SEP*] Meet his little hussy with his ghost town approach Her face is sans feature, but she wears a Dali brooch Sweetly reminiscent, something mother used to bake Wrecked up and paralysed, Diamond Dogs are stabilised[SEP*] I'll keep a friend serene (will they come?) Oh baby, come unto me (will they come?) Well, she's come, been and gone[SEP*] Come out of the garden, baby You'll catch your death in the fog Young girl, they call them the Diamond Dogs Young girl, they call them the Diamond Dogs[SEP*] Ooh-hoo-hoo, call them the Diamond Dogs Ooh-hoo-hoo, call them the Diamond Dogs Wow-wow, woof-woof, wow-wow-wow[SEP*] Call them the Diamond Dogs Dogs Call them the Diamond Dogs, call them, call them Call them the Diamond Dogs, call them, call them, woo-hoo Call them the Diamond Dogs Keep cool Diamond Dogs rule, okay",1974,0.049,0.748,0.203,0.9936
"Going, Going, Gone",Bob Dylan,"I've just reached a place Where the willow don't bend There's not much more to be said It's the top of the end I'm going I'm going I'm gone[SEP*] I'm closin' the book On the pages and the text And I don't really care What happens next I'm just going I'm going I'm gone[SEP*] I been hangin' on threads I been playin' it straight Now, I've just got to cut loose Before it gets late So I'm going I'm going I'm gone[SEP*] Grandma said, ""Boy, go and follow your heart And you'll be fine at the end of the line All that's gold isn't meant to shine Don't you and your one true love ever part""[SEP*] I been walkin' the road I been livin' on the edge Now, I've just got to go Before I get to the ledge So I'm going I'm just going I'm gone",1973,0.048,0.861,0.091,0.6864
All the Young Dudes,David Bowie,"Jimmy rapped all night about his suicide How he'd kick it in the head when he was 25 All that speech, ""I don't want to stay alive,"" when you're 25 [SEP*] Lucy's stealing clothes from unlocked cars And Freddy's got spots From ripping off the stars from his face now, honey A funky little boat race [SEP*] The television man is crazy Saying we're juvenile delinquent wrecks Oh man, I need a TV when I've got T. Rex [SEP*] Brother, you guessed I'm a dude All the young dudes, yeah Carry the news [SEP*] Boogaloo dudes, yeah Carry the news [SEP*] All the young dudes, yeah Carry the news [SEP*] Boogaloo dudes, yeah Carry the news",1972,0.111,0.815,0.074,-0.6621
Gotta Serve Somebody,Bob Dylan,"You may be an ambassador to England or France You may like to gamble, you might like to dance You may be the heavyweight champion of the world You might be a socialite with a long string of pearls[SEP*] But you're gonna have to serve somebody, yes indeed You're gonna have to serve somebody Well, it may be the Devil or it may be the Lord But you're gonna have to serve somebody[SEP*] Might be a rock 'n' roll addict prancing on the stage You might have drugs at your command, women in a cage You may be a businessman or some high-degree thief They may call you doctor or they may call you chief[SEP*] But you're gonna have to serve somebody, yes, you are You're gonna have to serve somebody (serve somebody) Well, it may be the Devil or it may be the Lord But you're gonna have to serve somebody (serve somebody)[SEP*] You may be a state trooper, you might be a young Turk You may be the head of some big TV network You may be rich or poor, you may be blind or lame You may be livin' in another country under another name[SEP*] But you're gonna have to serve somebody, yes, you arre You're gonna have to serve somebody (serve somebody) Well, it may be the Devil or it may be the Lord But you're gonna have to serve somebody (serve somebody)[SEP*] You may be a construction worker workin' on a home Might be livin' in a mansion, you might live in a dome You may own guns and you may even own tanks You may be somebody's landlord, you may even own banks[SEP*] But you're gonna have to serve somebody (serve somebody) Yes, you're gonna have to serve somebody (serve somebody) Well, it may be the Devil or it might be the Lord But you're gonna have to serve somebody (serve somebody)[SEP*] You may be a preacher preaching spiritual pride Maybe a city councilman takin' bribes on the side May be working in a barbershop, you may know how to cut hair You may be somebody's mistress, maybe somebody's heir[SEP*] But you're gonna have to serve somebody Yes, you're gonna have to serve somebody (serve somebody) Well, it may be the Devil or it may be the Lord But you're gonna have to serve somebody (serve somebody)[SEP*] Might like to wear cotton, might like to wear silk Might like to drink whiskey, might like to drink milk Might like to eat caviar, you might like to eat bread May be sleeping on the floor, sleepin' in a king-size bed[SEP*] But you're gonna have to serve somebody (serve somebody) Yes indeed, you're gonna have to serve somebody (serve somebody) Well, it may be the Devil or it may be the Lord But you're gonna have to serve somebody[SEP*] You may call me Terry, you may call me Timmy You may call me Bobby, you may call me Zimmy You may call me RJ, you may call me Ray You may call me anything, no matter what you say[SEP*] You're still gonna have to serve somebody (serve somebody) Yes, you're gonna have to serve somebody (serve somebody) Well, it may be the Devil and it may be the Lord But you're gonna have to serve somebody",1979,0.101,0.777,0.122,0.2144
Too Much Rain,Paul McCartney,"Laugh, when your eyes are burning Smile, when your heart is filled with pain Sigh, as you brush away your sorrow Make a vow, that's it's not going to happen again[SEP*] It's not right, in one life Too much rain You, know the wheels keep turning Why, do the tears run down your face[SEP*] We, use to hide away our feelings But for now, tell yourself it won't happen again It's not right, in one life Too much rain[SEP*] It's too much for anyone, Too hard for anyone Who wants a happy and peaceful life You've gotta learn to laugh[SEP*] Smile, when your spinning round and round Sigh, as you think about tomorrow Make a vow, that your gonna be happy again[SEP*] It's all right, in your life No more rain It's too much for anyone, Too hard for anyone Who wants a happy and peaceful life You've gotta learn to laugh",2005,0.071,0.697,0.232,0.9881
Pink Cadillac,Bruce Springsteen,"Well now you may think I'm foolish For the foolish things I do You may wonder how come I love you When you get on my nerves like you do[SEP*] Well baby you know you bug me There ain't no secret 'bout that Well come on over here and hug me Baby I'll spill the facts[SEP*] Well honey it ain't your money 'Cause baby I got plenty of that[SEP*] I love you for your pink Cadillac Crushed velvet seats Riding in the back Cruising down the street Waving to the girls Feeling out of sight Spending all my money On a Saturday night Honey I just wonder what you do there in back Of your pink Cadillac Pink Cadillac[SEP*] Well now way back in the Bible Temptations always come along There's always somebody tempting Somebody into doing something they know is wrong[SEP*] Well they tempt you, man, with silver And they tempt you, sir, with gold And they tempt you with the pleasures That the flesh does surely hold[SEP*] They say Eve tempted Adam with an apple But man I ain't going for that I know it was her pink Cadillac[SEP*] Crushed velvet seats Riding in the back Oozing down the street Waving to the girls Feeling out of sight Spending all my money On a Saturday night Honey I just wonder what it feels like in the back Of your pink Cadillac Pink Cadillac[SEP*] Now some folks say it's too big And uses too much gas Some folks say it's too old And that it goes too fast[SEP*] But my love is bigger than a Honda Yeah, it's bigger than a Subaru Hey man there's only one thing And one car that will do[SEP*] Anyway we don't have to drive it Honey we can park it out in the back And have a party in your pink Cadillac[SEP*] Crushed velvet seats Riding in the back Cruising down the street Waving to the girls Feeling out of sight Spending all my money On a Saturday night Honey I just wonder what you do there in back Of your pink Cadillac",1984,0.043,0.838,0.119,0.9688
I Believe in You,Bob Dylan,"They ask me how I feel And if my love is real And how I know I'll make it through And they, they look at me and frown, They'd like to drive me from this town, They don't want me around 'Cause I believe in you[SEP*] They show me to the door, They say don't come back no more 'Cause I don't be like they'd like me to, And I walk out on my own A thousand miles from home But I don't feel alone 'Cause I believe in you[SEP*] I believe in you even through the tears and the laughter, I believe in you even though we be apart I believe in you even on the morning after Oh, when the dawn is nearing Oh, when the night is disappearing Oh, this feeling is still here in my heart[SEP*] Don't let me drift too far, Keep me where you are Where I will always be renewed And that which you've given me today Is worth more than I could pay And no matter what they say I believe in you[SEP*] I believe in you when winter turn to summer, I believe in you when white turn to black, I believe in you even though I be outnumbered Oh, though the earth may shake me Oh, though my friends forsake me Oh, even that couldn't make me go back[SEP*] Don't let me change my heart, Keep me set apart From all the plans they do pursue And I, I don't mind the pain Don't mind the driving rain I know I will sustain 'Cause I believe in you",1979,0.028,0.855,0.116,0.9669
Ain't Talkin',Bob Dylan,"As I walked out tonight in the mystic garden The wounded flowers were dangling from the vine I was passing by yon cool crystal fountain Someone hit me from behind[SEP*] Ain't talkin', just walkin' Through this weary world of woe Heart burnin', still yearnin' No one on earth would ever know[SEP*] They say prayer has the power to heal So pray from the mother In the human heart an evil spirit can dwell I am a-tryin' to love my neighbor and do good unto others But oh, mother, things ain't going well[SEP*] Ain't talkin', just walkin' I'll burn that bridge before you can cross Heart burnin', still yearnin' There'll be no mercy for you once you've lost[SEP*] Now I'm all worn down by weeping My eyes are filled with tears, my lips are dry If I catch my opponents ever sleeping I'll just slaughter 'em where they lie[SEP*] Ain't talkin', just walkin' Through the world mysterious and vague Heart burnin', still yearnin' Walkin' through the cities of the plague[SEP*] Well, the whole world is filled with speculation The whole wide world which people say is round They will tear your mind away from contemplation They will jump on your misfortune when you're down[SEP*] Ain't talkin', just walkin' Eatin' hog-eyed grease in a hog-eyed town Heart burnin', still yearnin' Some day you'll be glad to have me around[SEP*] They will crush you with wealth and power Every waking moment you could crack I'll make the most of one last extra hour I'll avenge my father's death then I'll step back[SEP*] Ain't talkin', just walkin' Hand me down my walkin' cane Heart burnin', still yearnin' Got to get you out of my miserable brain[SEP*] All my loyal and my much-loved companions They approve of me and share my code I practice a faith that's been long abandoned Ain't no altars on this long and lonesome road[SEP*] Ain't talkin', just walkin' My mule is sick, my horse is blind Heart burnin', still yearnin' Thinkin' 'bout that gal I left behind[SEP*] Well, it's bright in the heavens and the wheels are flyin' Fame and honor never seem to fade The fire gone out but the light is never dyin' Who says I can't get heavenly aid?[SEP*] Ain't talkin', just walkin' Carryin' a dead man's shield Heart burnin', still yearnin' Walkin' with a toothache in my heel[SEP*] The sufferin' is unending Every nook and cranny has its tears I'm not playing, I'm not pretending I'm not nursin' any superfluous fears[SEP*] Ain't talkin', just walkin' Walkin' ever since the other night Heart burnin', still yearnin' Walkin' 'til I'm clean out of sight[SEP*] As I walked out in the mystic garden On a hot summer day, a hot summer lawn Excuse me, ma'am, I beg your pardon There's no one here, the gardener is gone[SEP*] Ain't talkin', just walkin' Up the road, around the bend Heart burnin', still yearnin' In the last outback at the world's end",2006,0.142,0.743,0.115,-0.9405
Tug of War,Paul McCartney,"It's a tug of war What with one thing and another It's a tug of war We expected more But with one thing and another We were trying to outdo each other In a tug of war [SEP*] In another world In another world We could stand on top of the mountain With our flag unfurled [SEP*] In a time to come In a time to come We will be dancing to the beat played On a different drum [SEP*] It's a tug of war Though I know I mustn't grumble It's a tug of war But I can't let go If I do you'll take a tumble And the whole thing is going to crumble It's a tug of war [SEP*] In years to come they may discover What the air we breathe and the life we lead Are all about But it won't be soon enough Soon enough for me No it won't be soon enough Soon enough for me [SEP*] In another world We could stand on top of the mountain With our flag unfurled [SEP*] In a time to come we will be dancing to the beat played On a different drum We will be dancing to the beat Played on a different drum We will be dancing to the beat Played on a different drum [SEP*] It's a tug of war, (a tug of war, a tug of war) What with one thing and another It's a tug of war We expected more But with one thing and another We were trying to outscore each other In a tug of war [SEP*]",1982,0.176,0.766,0.058,-0.991
Beauty and the Beast,David Bowie,"Weaving down a byroad, singing a song That's my kind of highroad gone wrong (My, my smile at least) You can't say no to the beauty and the beast [SEP*] Something in the night Something in the day Nothing is wrong but darling, something's in the way There's slaughter in the air Protest on the wind Someone else inside me Someone could get skinned, how? (My, my) someone fetch a priest You can't say no to the beauty and the beast [SEP*] Darling You can't say no to the beauty and the beast (Liebling) (My, my) You can't say no to the beauty and the beast [SEP*] I wanted to believe me I wanted to be good I wanted no distractions Like every good boy should Nothing will corrupt us Nothing will compete Thank god heaven left us Standing on our feet [SEP*] (My, my) Beauty and the beast (my, my) Just beauty and the beast (you can't say no to the beauty and the beast) Darling My, my",1977,0.052,0.584,0.364,0.9974
Your Loving Flame,Paul McCartney,"How can I hope to reach your love Help me to discover what it is you're thinking of 'Cause when we kiss, nothing feels the same I could spend eternity inside your loving flame[SEP*] What am I to do if I don't have you I'll be feeling blue, just sitting here without you You could be the one to chase my blues away, away[SEP*] So tell me how How to reach your love Help me to discover what it is you're thinking of 'Cause when we kiss nothing feels the same I could spend eternity inside your loving flame[SEP*] But what am I to do, if I don't have you Say, I'll be feeling blue, just sitting here without you You could be the one to chase my blues away, away[SEP*] 'Cause when we kiss nothing feels the same I could spend eternity inside your loving flame So tell me how How to reach your love Help me to discover what it is you're thinking of[SEP*] How can I hope to reach your love Here forever in your loving flame",2001,0.0,0.712,0.288,0.9949
What Can I Do for You?,Bob Dylan,"You have given everything to me. What can I do for You? You have given me eyes to see. What can I do for You?[SEP*] Pulled me out of bondage and You made me renewed inside, Filled up a hunger that had always been denied, Opened up a door no man can shut and You opened it up so wide And You've chosen me to be among the few. What can I do for You?[SEP*] You have laid down Your life for me. What can I do for You? You have explained every mystery. What can I do for You?[SEP*] Soon as a man is born, you know the sparks begin to fly, He gets wise in his own eyes and he's made to believe a lie. Who would deliver him from the death he's bound to die? Well, You've done it all and there's no more anyone can pretend to do. What can I do for You?[SEP*] You have given all there is to give. What can I do for You? You have given me life to live. How can I live for You?[SEP*] I know all about poison, I know all about fiery darts, I don't care how rough the road is, show me where it starts, Whatever pleases You, tell it to my heart. Well, I don't deserve it but I sure did make it through. What can I do for You?",1980,0.085,0.872,0.043,-0.7688
Black Country Rock,David Bowie,"Pack a pack horse and rest up here on Black country rock You never know, you might find it here on Black country rock [SEP*] Pack a pack horse and rest up here on Black country rock You never know, you might find it here on Black country rock [SEP*] Some say the view is crazy But you may adopt another point of view So if it's much too hazy You can leave my friend and me with fond adieu [SEP*] Pack a pack horse and rest up here on Black country rock You never know, you might find it here on Black country rock [SEP*] Pack a pack horse and rest up here on Black country rock You never know, you might find it here on Black country rock [SEP*] Some say the view is crazy But you may adopt another point of view So if it's much too hazy You can leave my friend and me with fond adieu [SEP*] Some say the view is crazy But you may adopt another point of view So if it's much too hazy You can leave my friend and me with fond adieu",1970,0.056,0.798,0.146,0.9712
Cold Irons Bound,Bob Dylan,"I'm beginning to hear voices and there's no one around Now I'm all used up and I fee so turned-around I went to church on Sunday and she passed by And my love for her is taking such a long time to die God, I'm waist deep, waist deep in the mist It's almost like, almost like I don't exist I'm 20 miles out of town, Cold Irons bound[SEP*] There's a wall of pride high and wide Can't see over to the other side It's such a sad thing to see beauty decay It's sadder still to feel your heart torn away One look at you and I'm out of control Like the universe has swallowed me whole I'm 20 miles out of town and Cold Irons bound[SEP*] There's too many people, too many to recall I thought some of 'em were friends of mine I was wrong about 'em all Well, the road is rocky and the hillside's mud Up over my head nothing but clouds of blood I found my own, I found my one in you But your love just hasn't proved true I'm 20 miles out of town, Cold Irons bound 20 miles out of town, Cold Irons bound[SEP*] Well the winds in Chicago have turned me to shreds Reality has always had too many heads Some things last longer than you think they will Some kind of things you can never kill It's you and you only I'm thinking about But you can't see in, and it's hard looking out I'm 20 miles out of town, Cold Irons bound[SEP*] Well the fat's in the fire, and the water's in the tank And the whiskey's in the jar, and the money's in the bank I tried to love and protect you because I cared I'm gonna remember forever the joy we've shared Looking at you and I'm on my bended knee You have no idea what you do to me I'm 20 miles out of town Cold Irons bound 20 miles out of town, Cold Irons bound",1997,0.064,0.793,0.143,0.9861
Arrow Through Me,Paul McCartney,"Ooh, baby, you couldn't have done a worse thing to me If you'da taken an arrow and run it right through me, ooh Ooh baby, a bird in the hand is worth two flyin' But when it came to love, I'd knew you'd be lyin'[SEP*] It could have been a finer thing Would have been a major attraction With no other thing Offering a note of distraction Come on, get up, get under way and bring your love[SEP*] Ooh baby, you wouldn't have found a more down hero If you'da started at nothing and counted to zero Ooh baby, you couldn't have done a worse thing to me If you'da taken an arrow and run it right through me[SEP*] It could have been a finer thing Flying in a righter direction With no other thing Featuring my love and affection Come on, get up, get under way and bring your love Ooh baby, you wouldn't have found a more down hero If you'da started at nothing and counted to zero",1979,0.044,0.707,0.249,0.9932
Rock 'n' Roll with Me,David Bowie,"You were always were the one that knew They sold us for the likes of you I never wanted anything but new surroundings A room to rent while the lizards lay, lying in the heat They was trying to remember who to meet And I would take a foxy kind of stand While tens of thousands found me in demand[SEP*] When you rock and roll with me No one else I'd rather be Nobody here can do it for me I'm in tears again When you rock and roll with me[SEP*] Hey-hey, good evening Buffalo It's nice to meet you Gentle hearts are counted down And the queue is out of sight and out of sounds Oh, me, I'm out of breath, but not quite doubting I've found a door which lets me out[SEP*] When you rock and roll with me No one else I'd rather be Nobody here can do it for me When you rock and roll with me[SEP*] I said, when you rock and roll, rock and roll with me Ah-ah-ah-ah-ah[SEP*] When you rock and roll with me No one else I'd rather be Nobody here can do it for me When you rock and roll with me[SEP*] I said, when you rock and roll, rock and roll with me No one else I'd rather, I'd rather be, no (when you rock and roll with me) Nobody down here can do it for me, no (when you rock and roll with me) I'm in tears, I'm in tears, yeah (when you rock and roll with me)",1974,0.106,0.827,0.067,-0.8489
